Released_Year,Series_Title,IMDB_Rating
1995,Se7en,8.6
1995,The Usual Suspects,8.5
1995,Toy Story,8.3
1995,Braveheart,8.3
1995,Heat,8.2
1995,Casino,8.2
1995,Underground,8.1
1995,La haine,8.1
1995,Dilwale Dulhania Le Jayenge,8.1
1995,Before Sunrise,8.1
1995,Twelve Monkeys,8
1995,Kôkaku Kidôtai,8
1995,Mimi wo sumaseba,7.9
1995,A Little Princess,7.7
1995,Do lok tin si,7.7
1995,Sense and Sensibility,7.6
1995,Die Hard: With a Vengeance,7.6
1995,Dead Man,7.6
1995,The Bridges of Madison County,7.6
1996,Eskiya,8.2
1996,Trainspotting,8.1
1996,Fargo,8.1
1996,Sling Blade,8
1996,Secrets & Lies,8
1996,Breaking the Waves,7.8
1996,Shine,7.7
1996,Primal Fear,7.7
1996,Hamlet,7.7
1996,Sleepers,7.6
